dataset,model,layer,target,alpha,pearsonr,pearsonr_nc,explained_variance,explained_variance_nc,encoding_rsa,encoding_cka
TVSD,Model B (Qwen3),features/visual-blocks-6,monkeyN/V4,100000.0,0.6658784685729604,0.6801257572209379,0.41029867244115475,0.4269870815554247,0.5672128157584697,0.6540849174176772
EEG2,Model A (ResNet),features/layer1-0,occipital_parietal,100000.0,0.15530894861972866,0.2249019512539426,-0.2445556631351897,-1.0423411489609136,0.018734884975218788,-0.002572651218980547
EEG2,Model A (ResNet),features/layer2-0,occipital_parietal,100000.0,0.15753670475388962,0.21773844565399708,-0.24071396669744802,-1.0671002021579281,0.026133235869005816,0.004236879082709684
EEG2,Model A (ResNet),features/layer3-0,occipital_parietal,100000.0,0.21095123067897822,0.3064474273549991,-0.214471001513928,-1.0175899941231694,0.03952716949340915,-0.0009200281091915233
EEG2,Model A (ResNet),features/layer3-10,occipital_parietal,100000.0,0.21913560520264477,0.32049787955332,-0.18230487015159308,-0.8872125315775129,0.013322576067265859,0.002927601783630438
EEG2,Model A (ResNet),features/layer3-15,occipital_parietal,100000.0,0.23215096995002973,0.3410684030701542,-0.1609605966446891,-0.8169561902255937,0.027376955392451944,0.0037944996164392454
EEG2,Model A (ResNet),features/layer3-20,occipital_parietal,100000.0,0.2282999106029344,0.3364800553287071,-0.16284816315250317,-0.8137843328795955,0.01879304497157914,0.002555201060784801
EEG2,Model A (ResNet),features/layer3-25,occipital_parietal,100000.0,0.2348504126921973,0.34398088339409294,-0.14351223212873326,-0.7656029952983372,0.029234124766627397,0.00042545729687250777
EEG2,Model A (ResNet),features/layer3-30,occipital_parietal,100000.0,0.23204560614109127,0.34082265595067457,-0.13399595417342125,-0.7132443477170898,0.03773172794084071,0.0015960027236206968
EEG2,Model A (ResNet),features/layer3-5,occipital_parietal,100000.0,0.21301327149760657,0.3113770653114051,-0.20750791890627912,-0.9748802523152759,0.02085344274705305,0.002234622917034661
EEG2,Model A (ResNet),features/layer4-1,occipital_parietal,100000.0,0.20285253774450718,0.290086681600282,-0.2547992383885188,-1.169368783479665,0.046740723130074296,0.01622006515698201
EEG2,Model B (Qwen3),features/language_model-layers-11,occipital_parietal,100000.0,0.19882916128048786,0.3003735219299757,-0.26753346609730266,-1.173793008183638,0.03484146633033163,0.018331725623693722
EEG2,Model B (Qwen3),features/language_model-layers-16,occipital_parietal,100000.0,0.19854561869211193,0.2977769275005233,-0.24424704344863804,-1.0865621106208316,0.053773375755077776,0.0190438620491273
EEG2,Model B (Qwen3),features/language_model-layers-3,occipital_parietal,100000.0,0.201022485695866,0.2968292186645185,-0.2648201387998013,-1.1900583358974173,0.04191506457898819,0.011843755261106639
EEG2,Model B (Qwen3),features/language_model-layers-8,occipital_parietal,100000.0,0.19790193660374128,0.2955839292217224,-0.27818030628795715,-1.2149411433307147,0.04288860521103577,0.01352003777654191
EEG2,Model B (Qwen3),features/visual-blocks-10,occipital_parietal,100000.0,0.17922578620156696,0.26497542483326875,-0.2348213905048233,-1.0764194945309133,-0.013032167433889243,0.0005540573952524699
EEG2,Model B (Qwen3),features/visual-blocks-14,occipital_parietal,100000.0,0.17484094237377848,0.2625154556274395,-0.2385409317787322,-1.0627716858111633,-0.014804383541226653,-0.002808360926126489
EEG2,Model B (Qwen3),features/visual-blocks-18,occipital_parietal,100000.0,0.18112496884442145,0.27576810377066996,-0.21677976829341614,-0.9565475301770638,-0.009886699910088727,-0.0018999168754703837
EEG2,Model B (Qwen3),features/visual-blocks-2,occipital_parietal,100000.0,0.18378631502332446,0.2686765711150419,-0.16195174691768066,-0.7573448243754858,0.023401087555613685,0.00018387848023703688
EEG2,Model B (Qwen3),features/visual-blocks-22,occipital_parietal,100000.0,0.18992773514326525,0.28997595686497035,-0.17428284916758896,-0.8041432035276632,-0.005790244805912072,0.0027348098838135327
EEG2,Model B (Qwen3),features/visual-blocks-6,occipital_parietal,100000.0,0.21332034002026437,0.3093445017014819,-0.1430147893773182,-0.7344032072517291,0.01886108003152241,0.004340723360881286
NSD,Model A (ResNet),features/layer1-0,V1v,100000.0,0.5158071321639031,0.7564171213058076,0.2785358063447742,0.5572650057654362,0.5546413304655347,0.5314339334243289
NSD,Model A (ResNet),features/layer1-0,V2v,100000.0,0.4252273048384938,0.6458563731341141,0.19350307861609348,0.3996648896088404,0.4390919394170328,0.4592873184577102
NSD,Model A (ResNet),features/layer1-0,V3v,100000.0,0.3839557478727388,0.6088103400558834,0.15213056067801092,0.34397351140246823,0.36951396666590036,0.33280293135259076
NSD,Model A (ResNet),features/layer1-0,hV4,100000.0,0.32337120832225513,0.5569792686698575,0.10815397464444557,0.2857655587256259,0.29398364739105165,0.28444240517086833
NSD,Model A (ResNet),features/layer1-0,FFA-1,100000.0,0.2108188532656807,0.38260303198510526,0.0396311159019308,0.10435241357779643,0.19551459080949815,0.16508913912692297
NSD,Model A (ResNet),features/layer1-0,VWFA-1,100000.0,0.17813790789009712,0.30974506027741455,0.02699197624945739,0.05676702927146782,0.17131455132295903,0.10060057594969389
NSD,Model A (ResNet),features/layer1-0,PPA,100000.0,0.30664955160709995,0.5395714568228595,0.09492206065938064,0.26484864072014397,0.2718357654068595,0.289024009602514
NSD,Model A (ResNet),features/layer1-0,OPA,100000.0,0.24898804901938923,0.436672726563747,0.06285579336131512,0.16293374238189356,0.25154882038406234,0.1584695523943695
NSD,Model A (ResNet),features/layer1-0,EBA,100000.0,0.23781492053641307,0.3688929043604516,0.05257420960545716,0.10138912197100185,0.22886992162988004,0.18069504172111286
NSD,Model A (ResNet),features/layer2-0,V1v,100000.0,0.5320348540227051,0.7815061762422103,0.29541654552512564,0.5934567579453353,0.5815037197644397,0.5500998718690022
NSD,Model A (ResNet),features/layer2-0,V2v,100000.0,0.46148250212305725,0.7038547297086303,0.2254397483549359,0.47380142321086766,0.5034309896237934,0.5101506296009312
NSD,Model A (ResNet),features/layer2-0,V3v,100000.0,0.42599922292581627,0.6774867035028393,0.18662518862509694,0.42957515463982393,0.4396332358848231,0.4034992312384936
NSD,Model A (ResNet),features/layer2-0,hV4,100000.0,0.3639228318509236,0.6263059533990097,0.13724282471248564,0.36631869458163185,0.3545382804133685,0.3402517404000637
NSD,Model A (ResNet),features/layer2-0,FFA-1,100000.0,0.2648914586627812,0.48135335420813946,0.0686083553325483,0.19708315469186236,0.2563321455271369,0.24611640756612735
NSD,Model A (ResNet),features/layer2-0,VWFA-1,100000.0,0.22350836410101346,0.3921571523437128,0.04836046562646803,0.12446886565321483,0.21882268968520938,0.1334302767669638
NSD,Model A (ResNet),features/layer2-0,PPA,100000.0,0.3612018864274392,0.638293395938398,0.13210372479469526,0.37922975836290196,0.33546954010219826,0.3865027473170684
NSD,Model A (ResNet),features/layer2-0,OPA,100000.0,0.30092298506124154,0.5313935870675337,0.0931214016038472,0.258921687608119,0.3089200147079566,0.23059935728049752
NSD,Model A (ResNet),features/layer2-0,EBA,100000.0,0.30081932006580986,0.4679667304472913,0.0878281577397416,0.1851825833173579,0.29743253137571235,0.2803186926087726
NSD,Model A (ResNet),features/layer3-0,V1v,100000.0,0.5385343523523698,0.7910437059499652,0.30556334185489475,0.6136098389047939,0.6026919546594833,0.5668226875323998
NSD,Model A (ResNet),features/layer3-0,V2v,100000.0,0.48666060359542646,0.7428291504387086,0.2543123644871126,0.5358400201108213,0.5556744552790874,0.5569584090183645
NSD,Model A (ResNet),features/layer3-0,V3v,100000.0,0.4620669982063933,0.7358476171389587,0.22256708458460947,0.5156391220479601,0.5015137950452908,0.4661394141266183
NSD,Model A (ResNet),features/layer3-0,hV4,100000.0,0.40681828401892106,0.7003727876343713,0.17227053111961926,0.46256010418696675,0.4322943548964562,0.39655525858363316
NSD,Model A (ResNet),features/layer3-0,FFA-1,100000.0,0.32804982699224894,0.5952258127773001,0.11135822233577163,0.3234013389235815,0.35917267050937834,0.3815730643576027
NSD,Model A (ResNet),features/layer3-0,VWFA-1,100000.0,0.27357127623796357,0.4822182173357458,0.07690397168860408,0.20950015116256518,0.31331801856623187,0.18575513028710072
NSD,Model A (ResNet),features/layer3-0,PPA,100000.0,0.4070553348334303,0.7216915086359923,0.17095026773843505,0.4964381443401965,0.4033110123524733,0.4742016313240459
